date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:04	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2019%20Jan%202020%2014:06:34%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/glyphicons-halflings-regular.eot	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/glyphicons-halflings-regular.eot	(from https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/bootstrap.min.css)
14:32:04	142072/142072	---MCZ	200	added ('OK')	font/ttf	date:Sun,%2019%20Jan%202020%2014:06:18%20GMT	https://freefirehack.co/diamonds-generator/font-awesome/4-5-0/css/font-awesome/4-5-0/fonts/fontawesome-webfont.ttf	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/font-awesome/4-5-0/css/font-awesome/4-5-0/fonts/fontawesome-webfont.ttf	(from https://freefirehack.co/diamonds-generator/font-awesome/4-5-0/css/font-awesome.min.css)
14:32:05	365616/365616	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2019%20Jan%202020%2014:06:18%20GMT	https://freefirehack.co/diamonds-generator/font-awesome/4-5-0/css/font-awesome/4-5-0/fonts/fontawesome-webfont.svg	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/font-awesome/4-5-0/css/font-awesome/4-5-0/fonts/fontawesome-webfont.svg	(from https://freefirehack.co/diamonds-generator/font-awesome/4-5-0/css/font-awesome.min.css)
14:32:07	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2019%20Jan%202020%2014:06:34%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/glyphicons-halflings-regulard41dd41dd41dd41dd41d.eot	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/glyphicons-halflings-regulard41dd4	(from https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/bootstrap.min.css)
14:32:07	23424/23424	---M--	200	added ('OK')	font/woff	date:Sun,%2019%20Jan%202020%2014:06:34%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/glyphicons-halflings-regular.woff	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/glyphicons-halflings-regular.woff	(from https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/bootstrap.min.css)
14:32:08	56507/56507	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Nov%202020%2013:32:07%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/glyphicons-halflings-regular.html	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/glyphicons-halflings-regular.html	(from https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/bootstrap.min.css)
14:32:10	116671/116671	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2019%20Jan%202020%2014:06:34%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/glyphicons-halflings-regular.svg	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/glyphicons-halflings-regular.svg	(from https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/bootstrap.min.css)
14:32:12	45404/45404	---MCZ	200	added ('OK')	font/ttf	date:Sun,%2019%20Jan%202020%2014:06:34%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/glyphicons-halflings-regular.ttf	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/glyphicons-halflings-regular.ttf	(from https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/bootstrap.min.css)
14:32:13	48788/48788	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2019%20Jan%202020%2014:06:36%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/bebasneue_bold-webfont.eot	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/bebasneue_bold-webfont.eot	(from https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/style.css)
14:32:13	48788/48788	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2019%20Jan%202020%2014:06:36%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/bebasneue_bold-webfontd41dd41dd41dd41dd41d.eot	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/bebasneue_bold-webfontd41dd41dd41d	(from https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/style.css)
14:32:15	15216/15216	---M--	200	added ('OK')	font/woff	date:Sun,%2019%20Jan%202020%2014:06:36%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/bebasneue_bold-webfont.woff	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/wp-content/plugins/ogads-incentive-generator/template/gen/fonts/bebasneue_bold-webfont.woff	(from https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/style.css)
